time_s,time_min,orbit_fraction,min_distance_km,mean_distance_km,max_distance_km,availability,connected,representative_distance_km,representative_neighbor,mapping_changes
1687.20408742,28.12006812,0.29444444,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,303.95848474,47.00000000,0.00000000
1719.03812680,28.65063545,0.30000000,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,321.89028830,47.00000000,0.00000000
1750.87216619,29.18120277,0.30555556,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,341.12504311,47.00000000,0.00000000
1782.70620557,29.71177009,0.31111111,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,361.36884402,47.00000000,0.00000000
1814.54024496,30.24233742,0.31666667,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,382.37091008,47.00000000,0.00000000
1846.37428434,30.77290474,0.32222222,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,403.91881605,47.00000000,0.00000000
1878.20832373,31.30347206,0.32777778,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,425.83281765,47.00000000,0.00000000
1910.04236311,31.83403939,0.33333333,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,447.96033546,47.00000000,0.00000000
1941.87640250,32.36460671,0.33888889,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,470.17106789,47.00000000,0.00000000
1973.71044188,32.89517403,0.34444444,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,492.35287324,47.00000000,0.00000000
2005.54448127,33.42574135,0.35000000,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,514.40839875,47.00000000,0.00000000
2037.37852065,33.95630868,0.35555556,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,536.25236691,47.00000000,0.00000000
2069.21256004,34.48687600,0.36111111,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,557.80941162,47.00000000,0.00000000
2101.04659942,35.01744332,0.36666667,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,579.01236106,47.00000000,0.00000000
2132.88063881,35.54801065,0.37222222,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,599.80087745,47.00000000,0.00000000
2164.71467819,36.07857797,0.37777778,244.29087969,608.53072053,880.78378004,1.00000000,1.00000000,620.12037942,47.00000000,0.00000000
2196.54871758,36.60914529,0.38333333,244.29001649,608.53072053,880.78401946,1.00000000,1.00000000,639.92118722,47.00000000,0.00000000
2228.38275696,37.13971262,0.38888889,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,659.15784307,47.00000000,0.00000000
2260.21679635,37.67027994,0.39444444,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,677.78856971,47.00000000,0.00000000
2292.05083573,38.20084726,0.40000000,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,695.77483760,47.00000000,0.00000000
2323.88487512,38.73141459,0.40555556,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,713.08101830,47.00000000,0.00000000
2355.71891450,39.26198191,0.41111111,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,729.67410606,47.00000000,0.00000000
2387.55295389,39.79254923,0.41666667,244.28762608,608.53072053,880.78468245,1.00000000,1.00000000,745.52349375,47.00000000,0.00000000
2419.38699327,40.32311655,0.42222222,244.28769248,608.53072053,880.78466403,1.00000000,1.00000000,760.60079207,47.00000000,0.00000000
2451.22103266,40.85368388,0.42777778,244.28789168,608.53072053,880.78460878,1.00000000,1.00000000,774.87968361,47.00000000,0.00000000
2483.05507204,41.38425120,0.43333333,244.28822369,608.53072053,880.78451670,1.00000000,1.00000000,788.33580475,47.00000000,0.00000000
2514.88911143,41.91481852,0.43888889,244.28868849,608.53072053,880.78438779,1.00000000,1.00000000,800.94665012,47.00000000,0.00000000
2546.72315082,42.44538585,0.44444444,244.28928609,608.53072053,880.78422204,1.00000000,1.00000000,812.69149519,47.00000000,0.00000000
