M,N,total_satellites,inclination,phase_factor,space_time_coverage_ratio,full_region_coverage_ratio,worst_instantaneous_ratio,minimum_point_coverage_ratio,average_multiplicity,maximum_gap_minutes,feasible
32,64,2048,57.5,22,0.9993802083333333,0.5875,0.9975,0.9819444444444444,3.446361111111111,4.0,False
32,64,2048,58.0,0,0.9992899305555556,0.5875,0.995,0.9861111111111112,3.3892204861111113,2.0,False
32,64,2048,58.0,1,0.9987204861111111,0.5861111111111111,0.9925,0.9722222222222222,3.3888854166666667,2.0,False
32,64,2048,57.5,20,0.999359375,0.5847222222222223,0.99625,0.9805555555555555,3.4468350694444445,4.0,False
32,64,2048,57.5,31,0.9986892361111112,0.5819444444444445,0.9925,0.9652777777777778,3.446739583333333,2.0,False
32,64,2048,54.0,9,0.9994045138888888,0.575,0.9975,0.9833333333333333,3.9993385416666665,4.0,False
32,64,2048,58.0,6,0.9993038194444445,0.575,0.99625,0.9902777777777778,3.3890694444444445,2.0,False
32,64,2048,54.5,13,0.99934375,0.5708333333333333,0.9975,0.9763888888888889,3.9229774305555556,4.0,False
32,64,2048,57.5,28,0.9989253472222223,0.5708333333333333,0.99375,0.9777777777777777,3.4468229166666666,4.0,False
32,64,2048,57.5,18,0.9993628472222222,0.5611111111111111,0.9975,0.9777777777777777,3.4468975694444444,4.0,False
32,64,2048,58.0,2,0.9993559027777777,0.5611111111111111,0.99625,0.9875,3.388769097222222,2.0,False
32,64,2048,55.0,17,0.9993836805555556,0.5597222222222222,0.99625,0.9833333333333333,3.833177083333333,2.0,False
32,64,2048,58.0,28,0.999046875,0.5583333333333333,0.99375,0.9833333333333333,3.3891649305555553,2.0,False
32,64,2048,54.0,25,0.9993836805555556,0.5541666666666667,0.9975,0.9805555555555555,3.999347222222222,4.0,False
32,64,2048,56.5,12,0.99825,0.5513888888888889,0.99125,0.9180555555555555,3.6061979166666664,6.0,False
32,64,2048,57.5,14,0.9989965277777778,0.5458333333333333,0.995,0.975,3.446907986111111,4.0,False
32,64,2048,54.0,4,0.9994131944444444,0.5444444444444444,0.9975,0.9805555555555555,3.9993385416666665,2.0,False
32,64,2048,57.5,16,0.9991927083333333,0.5416666666666666,0.99625,0.9819444444444444,3.4467743055555555,4.0,False
32,64,2048,54.5,9,0.9992916666666667,0.5402777777777777,0.9975,0.9763888888888889,3.922875,4.0,False
32,64,2048,57.5,1,0.9987638888888889,0.5402777777777777,0.99375,0.9666666666666667,3.446630208333333,2.0,False
32,64,2048,54.0,3,0.9992864583333333,0.5347222222222222,0.99625,0.9722222222222222,3.999435763888889,2.0,False
32,64,2048,55.0,0,0.9990052083333333,0.5347222222222222,0.99375,0.9847222222222223,3.833185763888889,2.0,False
32,64,2048,57.5,24,0.9993732638888889,0.5208333333333334,0.9975,0.9805555555555555,3.4467274305555557,4.0,False
32,64,2048,57.0,10,0.9986684027777778,0.5152777777777777,0.995,0.9680555555555556,3.5143350694444444,4.0,False
32,64,2048,57.0,31,0.9985555555555555,0.5138888888888888,0.99375,0.9597222222222223,3.5142430555555557,2.0,False
32,64,2048,57.5,2,0.9992048611111111,0.5125,0.99625,0.9833333333333333,3.4465295138888887,4.0,False
