inclination,phase_factor,total_satellites,space_time_coverage_ratio,full_region_coverage_ratio,worst_instantaneous_ratio,minimum_point_coverage_ratio,average_multiplicity,maximum_gap_minutes,total_uncovered_cells,maximum_uncovered_points,feasible
53.0,30,2048,0.9994045414462082,0.24930555555555556,0.9977777777777778,0.9708333333333333,4.175408068783069,1.0,2701,7,False
55.0,23,2048,0.9994817019400353,0.2465277777777778,0.9984126984126984,0.9756944444444444,3.9155216049382715,3.0,2351,5,False
54.75,28,2048,0.9994933862433862,0.23333333333333334,0.9984126984126984,0.98125,3.950396384479718,2.0,2298,5,False
54.0,28,2048,0.9995906084656084,0.23055555555555557,0.9990476190476191,0.9819444444444444,4.055891313932981,1.0,1857,3,False
54.25,28,2048,0.9995462962962963,0.22708333333333333,0.9990476190476191,0.9840277777777777,4.0247519841269845,1.0,2058,3,False
55.0,28,2048,0.9994499559082892,0.22430555555555556,0.9984126984126984,0.9770833333333333,3.91544069664903,2.0,2495,5,False
54.5,28,2048,0.9995275573192239,0.21736111111111112,0.9990476190476191,0.9847222222222223,3.9899113756613755,1.0,2143,3,False
55.0,30,2048,0.9992738095238095,0.21458333333333332,0.9974603174603175,0.9784722222222222,3.9154389329806,2.0,3294,8,False
53.75,28,2048,0.9995848765432098,0.17777777777777778,0.9987301587301587,0.9798611111111111,4.086288139329806,1.0,1883,4,False
53.5,28,2048,0.9994772927689595,0.1284722222222222,0.9987301587301587,0.9777777777777777,4.120780202821869,1.0,2371,4,False
53.25,28,2048,0.9993893298059965,0.08888888888888889,0.9987301587301587,0.975,4.1500674603174605,1.0,2770,4,False
53.0,28,2048,0.9993223104056438,0.06597222222222222,0.9984126984126984,0.9722222222222222,4.175417328042328,1.0,3074,5,False
