satellite_id,plane_id,slot_id,critical_space_time_cells,space_time_coverage_after_failure,full_region_time_coverage_after_failure,minimum_point_time_coverage_after_failure,worst_instantaneous_area_coverage_after_failure,maximum_full_region_outage_minutes,pass_full_region_99,pass_minimum_point_99,pass_both_99
134,2,38,0,1.0,1.0,1.0,1.0,0.0,True,True,True
135,2,39,0,1.0,1.0,1.0,1.0,0.0,True,True,True
136,2,40,0,1.0,1.0,1.0,1.0,0.0,True,True,True
137,2,41,0,1.0,1.0,1.0,1.0,0.0,True,True,True
138,2,42,0,1.0,1.0,1.0,1.0,0.0,True,True,True
139,2,43,0,1.0,1.0,1.0,1.0,0.0,True,True,True
140,2,44,0,1.0,1.0,1.0,1.0,0.0,True,True,True
141,2,45,0,1.0,1.0,1.0,1.0,0.0,True,True,True
142,2,46,0,1.0,1.0,1.0,1.0,0.0,True,True,True
143,2,47,0,1.0,1.0,1.0,1.0,0.0,True,True,True
144,3,0,0,1.0,1.0,1.0,1.0,0.0,True,True,True
145,3,1,0,1.0,1.0,1.0,1.0,0.0,True,True,True
146,3,2,0,1.0,1.0,1.0,1.0,0.0,True,True,True
147,3,3,0,1.0,1.0,1.0,1.0,0.0,True,True,True
148,3,4,0,1.0,1.0,1.0,1.0,0.0,True,True,True
149,3,5,0,1.0,1.0,1.0,1.0,0.0,True,True,True
150,3,6,0,1.0,1.0,1.0,1.0,0.0,True,True,True
151,3,7,0,1.0,1.0,1.0,1.0,0.0,True,True,True
152,3,8,0,1.0,1.0,1.0,1.0,0.0,True,True,True
153,3,9,0,1.0,1.0,1.0,1.0,0.0,True,True,True
154,3,10,0,1.0,1.0,1.0,1.0,0.0,True,True,True
155,3,11,0,1.0,1.0,1.0,1.0,0.0,True,True,True
156,3,12,0,1.0,1.0,1.0,1.0,0.0,True,True,True
157,3,13,0,1.0,1.0,1.0,1.0,0.0,True,True,True
158,3,14,0,1.0,1.0,1.0,1.0,0.0,True,True,True
159,3,15,0,1.0,1.0,1.0,1.0,0.0,True,True,True
160,3,16,0,1.0,1.0,1.0,1.0,0.0,True,True,True
161,3,17,0,1.0,1.0,1.0,1.0,0.0,True,True,True
162,3,18,0,1.0,1.0,1.0,1.0,0.0,True,True,True
163,3,19,0,1.0,1.0,1.0,1.0,0.0,True,True,True
164,3,20,0,1.0,1.0,1.0,1.0,0.0,True,True,True
165,3,21,0,1.0,1.0,1.0,1.0,0.0,True,True,True
166,3,22,0,1.0,1.0,1.0,1.0,0.0,True,True,True
167,3,23,0,1.0,1.0,1.0,1.0,0.0,True,True,True
168,3,24,0,1.0,1.0,1.0,1.0,0.0,True,True,True
169,3,25,0,1.0,1.0,1.0,1.0,0.0,True,True,True
170,3,26,0,1.0,1.0,1.0,1.0,0.0,True,True,True
171,3,27,0,1.0,1.0,1.0,1.0,0.0,True,True,True
172,3,28,0,1.0,1.0,1.0,1.0,0.0,True,True,True
173,3,29,0,1.0,1.0,1.0,1.0,0.0,True,True,True
174,3,30,0,1.0,1.0,1.0,1.0,0.0,True,True,True
175,3,31,0,1.0,1.0,1.0,1.0,0.0,True,True,True
176,3,32,0,1.0,1.0,1.0,1.0,0.0,True,True,True
177,3,33,0,1.0,1.0,1.0,1.0,0.0,True,True,True
178,3,34,0,1.0,1.0,1.0,1.0,0.0,True,True,True
179,3,35,0,1.0,1.0,1.0,1.0,0.0,True,True,True
180,3,36,0,1.0,1.0,1.0,1.0,0.0,True,True,True
181,3,37,0,1.0,1.0,1.0,1.0,0.0,True,True,True
182,3,38,0,1.0,1.0,1.0,1.0,0.0,True,True,True
183,3,39,0,1.0,1.0,1.0,1.0,0.0,True,True,True
184,3,40,0,1.0,1.0,1.0,1.0,0.0,True,True,True
185,3,41,0,1.0,1.0,1.0,1.0,0.0,True,True,True
186,3,42,0,1.0,1.0,1.0,1.0,0.0,True,True,True
187,3,43,0,1.0,1.0,1.0,1.0,0.0,True,True,True
188,3,44,0,1.0,1.0,1.0,1.0,0.0,True,True,True
189,3,45,0,1.0,1.0,1.0,1.0,0.0,True,True,True
190,3,46,0,1.0,1.0,1.0,1.0,0.0,True,True,True
191,3,47,0,1.0,1.0,1.0,1.0,0.0,True,True,True
192,4,0,0,1.0,1.0,1.0,1.0,0.0,True,True,True
193,4,1,0,1.0,1.0,1.0,1.0,0.0,True,True,True
194,4,2,0,1.0,1.0,1.0,1.0,0.0,True,True,True
195,4,3,0,1.0,1.0,1.0,1.0,0.0,True,True,True
196,4,4,0,1.0,1.0,1.0,1.0,0.0,True,True,True
197,4,5,0,1.0,1.0,1.0,1.0,0.0,True,True,True
198,4,6,0,1.0,1.0,1.0,1.0,0.0,True,True,True
199,4,7,0,1.0,1.0,1.0,1.0,0.0,True,True,True
200,4,8,0,1.0,1.0,1.0,1.0,0.0,True,True,True
201,4,9,0,1.0,1.0,1.0,1.0,0.0,True,True,True
202,4,10,0,1.0,1.0,1.0,1.0,0.0,True,True,True
203,4,11,0,1.0,1.0,1.0,1.0,0.0,True,True,True
204,4,12,1,0.9999950760325684,0.9965277777777778,0.9965277777777778,0.9985818973509595,5.0,True,True,True
